IslandId,NavigationX,NavigationY,NpcId,NpcName,SourceUrl
Ajir,82489.4,331711,58966,Jeraki,https://bdocodex.com/us/npc/58966/
Al_Naha,42910,365158,58953,Sherana,https://bdocodex.com/us/npc/58953/
Albresser,-337319,165872,58912,Pukira,https://bdocodex.com/us/npc/58912/
Almai,-398897,328306,58916,Arutiha,https://bdocodex.com/us/npc/58916/
Angie,-134064,230748,58924,Neruo,https://bdocodex.com/us/npc/58924/
Arakil,93295.4,221473,58950,Curahi,https://bdocodex.com/us/npc/58950/
Arita,-224859,319478,58917,Terseo,https://bdocodex.com/us/npc/58917/
Baeza,-445068,86059.6,58901,Cazio,https://bdocodex.com/us/npc/58901/
Balvege,-99659.3,269228,58925,Rukio,https://bdocodex.com/us/npc/58925/
Barater,-327700,143567,58913,Tidio,https://bdocodex.com/us/npc/58913/
Baremi,18570,289848,58940,Serapu,https://bdocodex.com/us/npc/58940/
Beiruwa,84194.3,170787,58933,Gerio,https://bdocodex.com/us/npc/58933/
Boa,415906,368609,58962,Shamihi,https://bdocodex.com/us/npc/58962/
Daton,-429818,211687,58907,Priha,https://bdocodex.com/us/npc/58907/
Delinghart,212122,200931,58936,Serrio,https://bdocodex.com/us/npc/58936/
Derko,830713,431559,58961,Juki,https://bdocodex.com/us/npc/58961/
Duch,-91255.5,204008,58926,Juvio,https://bdocodex.com/us/npc/58926/
Dunde,-380165,175864,58910,Ruishi,https://bdocodex.com/us/npc/58910/
Eberdeen,-365516,182628,58911,Merio,https://bdocodex.com/us/npc/58911/
Ephde_Rune,9147.63,166138,58931,Rishao,https://bdocodex.com/us/npc/58931/
Esfah,420309,233817,58958,Biapin,https://bdocodex.com/us/npc/58958/
Eveto,-79348.4,228303,58927,Havio,https://bdocodex.com/us/npc/58927/
Ginburrey,-456251,145955,58906,Denio,https://bdocodex.com/us/npc/58906/
Hakoven,1238470,568950,58971,Roshina,https://bdocodex.com/us/npc/58971/
Halmad,553045,337673,58959,Tixia,https://bdocodex.com/us/npc/58959/
Iliya,155666,290833,58948,Priko,https://bdocodex.com/us/npc/58948/
Invernen,-111036,291644,58923,Pakuo,https://bdocodex.com/us/npc/58923/
Kanvera,79638.9,245154,58942,Panishu,https://bdocodex.com/us/npc/58942/
Kashuma,573272,353727,58960,Parian,https://bdocodex.com/us/npc/58960/
Kuit,-348179,373507,58967,Ryubio,https://bdocodex.com/us/npc/58967/
Lema,-47615.7,414824,58954,Chikao,https://bdocodex.com/us/npc/58954/
Lerao,274177,543532,58946,Ravio,https://bdocodex.com/us/npc/58946/
Lisz,-222335,274173,58919,Retao,https://bdocodex.com/us/npc/58919/
Louruve,-222752,234951,58920,Julio,https://bdocodex.com/us/npc/58920/
Luivano,-51480.9,189837,58930,Vedio,https://bdocodex.com/us/npc/58930/
Mariveno,-28371.3,230997,58929,Renilu,https://bdocodex.com/us/npc/58929/
Marka,-184386,241230,58921,Siani,https://bdocodex.com/us/npc/58921/
Marlene,-65382.6,273178,58928,Marcini,https://bdocodex.com/us/npc/58928/
Modric,-462146,98759.2,58902,Trisha,https://bdocodex.com/us/npc/58902/
Narvo,-176154,288222,58922,Akenisi,https://bdocodex.com/us/npc/58922/
Netnume,-417829,200920,58908,Padio,https://bdocodex.com/us/npc/58908/
Oben,-406830,213194,58909,Shapio,https://bdocodex.com/us/npc/58909/
Olvia,-142326,166708,58973,Brio,https://bdocodex.com/seaen/npc/58973/
Orffs,-61251.2,322911,58938,Pokio,https://bdocodex.com/us/npc/58938/
Orisha,430010,340800,58956,Tesivin,https://bdocodex.com/us/npc/58956/
Ostra,145777,217465,58935,Belgio,https://bdocodex.com/us/npc/58935/
Padix,-349081,347470,58915,Keshao,https://bdocodex.com/us/npc/58915/
Paratama,37870.6,198626,58932,Tepuo,https://bdocodex.com/us/npc/58932/
Pilava,248520,198926,58937,Hika,https://bdocodex.com/us/npc/58937/
Portanen,287435,455084,58947,Supio,https://bdocodex.com/us/npc/58947/
Pujara,254262,291255,58949,Riamishu,https://bdocodex.com/us/npc/58949/
Racid,73863.2,416644,58943,Shuka,https://bdocodex.com/us/npc/58943/
Rameda,-505698,154459,58905,Tarin,https://bdocodex.com/us/npc/58905/
Randis,-390138,116541,58963,Hiriva,https://bdocodex.com/us/npc/58963/
Riyed,383490,180907,58952,Rian,https://bdocodex.com/us/npc/58952/
Rosevan,299933,409357,58969,Sikario,https://bdocodex.com/us/npc/58969/
Serca,-381353,91954,58964,Shura,https://bdocodex.com/us/npc/58964/
Shasha,254636,393934,58968,Palasio,https://bdocodex.com/us/npc/58968/
Shirna,449598,262469,58957,Kiapura,https://bdocodex.com/us/npc/58957/
Sokota,336628,147292,58951,Sherahi,https://bdocodex.com/us/npc/58951/
Staren,-249942,197543,58918,Rakio,https://bdocodex.com/us/npc/58918/
Taramura,140409,189790,58934,Hashin,https://bdocodex.com/us/npc/58934/
Tashu,-123642,440757,58955,Solavio,https://bdocodex.com/us/npc/58955/
Teste,-426798,320396,58914,Macio,https://bdocodex.com/us/npc/58914/
Teyamal,-527216,78037.6,58904,Purani,https://bdocodex.com/us/npc/58904/
Theonil,-490565,98492,58903,Prao,https://bdocodex.com/us/npc/58903/
Tinberra,231604,528006,58945,Mulicia,https://bdocodex.com/us/npc/58945/
Tulu,-90667.9,326926,58939,Metakio,https://bdocodex.com/us/npc/58939/
Weita,37806.3,252302,58941,Decario,https://bdocodex.com/us/npc/58941/
