EnumName,NameZhTW,Confidence,Note
Ajir,阿兹鲁岛,high,bdocodex theme
Albresser,阿尔波雷斯岛,high,bdocodex theme
Almai,阿尔麦岛,high,bdocodex theme
Al_Naha,阿尔纳哈岛,high,bdocodex theme
Ancient,遇难的古代遗迹运输船,high,bdocodex name
Angie,洋朱岛,high,bdocodex theme
Arakil,阿拉吉尔岛,high,bdocodex theme
Arita,阿利塔岛,high,bdocodex theme
Baeza,巴艾加岛,high,bdocodex theme
Balvege,巴贝兹岛,high,bdocodex theme
Barater,巴拉培斯岛,high,bdocodex theme
Baremi,巴雷米岛,high,bdocodex theme
Beiruwa,贝卢瓦岛,high,bdocodex theme
Boa,宝雅岛,high,bdocodex theme
Haran,遇难的哈兰运输船,high,bdocodex theme
Carrack,残月公会的重帆船,high,bdocodex name
Cholace,苏尔拉斯齐古的海贼联盟,high,bdocodex name
Cox_Pirate,遇难的酷斯海贼船,high,bdocodex theme
Crow,乌鸦商团的船舶,high,bdocodex name
Crows_Nest,乌鸦巢,high,bdocodex theme
Dallae,杜鹃渡口,high,bdocodex theme
Daton,戴特恩岛,high,bdocodex theme
Delinghart,戴林哈特岛,high,bdocodex theme
Derko,德寇岛,high,bdocodex theme
Duch,杜胡岛,high,bdocodex theme
Dunde,德恩特岛,high,bdocodex theme
Eberdeen,艾波迪恩岛,high,bdocodex theme
Ephde_Rune,艾普戴伦岛,high,bdocodex theme
Esfah,艾史帕岛,high,bdocodex theme
Eveto,艾贝特岛,high,bdocodex theme
Ginburrey,今贝雷岛,high,bdocodex theme
Hakoven,哈科班岛,high,bdocodex theme
Halmad,赫尔马岛,high,bdocodex theme
Iliya,伊利亚岛,high,bdocodex theme
Unfinished,漂下来的未完成船舶,high,bdocodex name
Invernen,茵巴德恩岛,high,bdocodex theme
Kanvera,肯贝拉岛,high,bdocodex theme
Kashuma,卡修麻岛,high,bdocodex theme
Kuit,库伊特群岛,high,bdocodex theme
Lantinia,朗提尼亚战斗竹筏,high,bdocodex theme
Lema,雷玛岛,high,bdocodex theme
Lerao,雷拉欧岛,high,bdocodex theme
Lisz,里斯兹岛,high,bdocodex theme
Louruve,露露波岛,high,bdocodex theme
Luivano,路易巴斯岛,high,bdocodex theme
Mariveno,马里贝诺岛,high,bdocodex theme
Marka,马路卡岛,high,bdocodex theme
Marlene,玛鲁雷斯岛,high,bdocodex theme
Modric,莫德里岛,high,bdocodex theme
Narvo,纳勒柏岛,high,bdocodex theme
Netnume,奈特尼恩岛,high,bdocodex theme
Oben,奥波恩岛,high,bdocodex theme
Orffs,奥鲁普斯岛,high,bdocodex theme
Orisha,奥利沙岛,high,bdocodex theme
Ostra,欧斯特拉岛,high,bdocodex theme
Padix,皮尼斯岛,high,bdocodex theme
Pakio,法基奥战斗竹筏,high,bdocodex theme
Paratama,帕拉塔岛,high,bdocodex theme
Pilava,珀尔巴拉岛,high,bdocodex theme
Portanen,普勒泰南岛,high,bdocodex theme
Pujara,普价拉岛,high,bdocodex theme
Racid,拉西德岛,high,bdocodex theme
Rameda,拉麦达岛,high,bdocodex theme
Randis,蓝迪斯岛,high,bdocodex theme
Rickun,遇难的里克昆船,high,bdocodex theme
Riyed,里埃岛,high,bdocodex theme
Rosevan,罗兹班岛,high,bdocodex theme
Serca,西路卡岛,high,bdocodex theme
Shasha,莎莎岛,high,bdocodex theme
Shirna,薛纳岛,high,bdocodex theme
Sokota,索寇塔岛,high,bdocodex theme
Staren,斯泰蓝岛,high,bdocodex theme
Taramura,塔拉穆拉岛,high,bdocodex theme
Tashu,塔苏岛,high,bdocodex theme
Teste,泰丝特岛,high,bdocodex theme
Teyamal,泰亚莫岛,high,bdocodex theme
Theonil,西欧尼岛,high,bdocodex theme
Tigris,堤葛黎史岛,high,bdocodex theme
Tinberra,庭贝拉岛,high,bdocodex theme
Tulu,土路岛,high,bdocodex theme
Velia,贝尔利亚村庄,placeholder,placeholder map coords - please adjust to actual Velia location
Wandering,流浪商人的船,high,in-game name
Weita,维亦塔岛,high,bdocodex theme
Marine,海洋之岛,high,bdocodex name
Olvia,奥尔比亚海岸,high,bdocodex theme
Arehaza,阿利赫恣村庄,high,bdocodex theme
Grandiha,格兰迪哈,high,bdocodex theme
Midnight,深夜港口,high,bdocodex theme
Haemo,向阳岛,high,bdocodex theme
Epheria,艾裴莉雅岗哨,high,bdocodex theme
Sausan,萨扇营地码头,high,bdocodex theme
Sanctuary,圣殿海岸侦查地,high,bdocodex theme
UnKnown,未知,low,fallback
